StudentID,Name,Gender,Class,Section
S0059,Robert Bullock,Male,5,C
S0060,Michelle Boyd,Female,9,A
S0061,Gina Yang,Male,9,A
S0062,Grant Hoffman,Female,6,C
S0063,Rebecca Wells,Female,2,A
S0064,Kari Lopez,Male,8,A
S0065,Andrew Walker,Male,11,A
S0066,Natalie Collins,Male,10,B
S0067,Leslie Grant,Male,4,B
S0068,Diane Brown,Female,12,B
S0069,Robert Miller,Female,10,A
S0070,Jaime Knight,Female,4,C
S0071,Gary Case,Male,8,C
S0072,Latoya Alvarez,Female,6,A
S0073,Briana Jefferson,Male,7,C
S0074,Savannah Christian,Female,4,C
S0075,Kimberly Brown,Female,6,A
S0076,Tiffany Hughes,Male,11,B
S0077,Kevin Hunt,Female,9,A
S0078,Shawn Davidson,Female,7,C
S0079,Sierra Chang,Male,3,B
S0080,David Johnson,Female,12,C
S0081,Jay Davis,Male,9,C
S0082,Kari Robinson,Male,5,A
S0083,Alicia Parrish,Male,9,C
S0084,Mary Duran,Male,2,B
S0085,Adam Meyer,Female,1,A
S0086,Gregory Diaz,Male,8,B
S0087,Bethany Daniels,Female,3,C
S0088,Julie Jensen,Female,4,A
S0089,Brooke Fleming,Female,10,A
S0090,Jonathan Alexander,Female,11,A
S0091,Christopher Smith,Female,2,A
S0092,Julie Aguilar,Female,4,C
S0093,Tamara Thornton,Male,7,C
S0094,Karen Roberts,Male,5,B
S0095,Tyler Rasmussen,Female,1,C
S0096,Elizabeth Frank,Male,10,A
S0097,Juan Rubio,Female,11,A
S0098,Melinda Duran,Female,1,C
S0099,Jodi Wheeler,Male,5,C
S0100,Randall Ramirez,Female,3,A
S0101,Chelsea Gutierrez,Male,10,B
S0102,Lynn Thomas,Male,5,C
S0103,Joseph Walker,Male,12,B
S0104,Kayla Martinez,Female,5,B
S0105,Stephanie Baker,Female,6,A
S0106,Kyle Hansen,Male,4,B
S0107,Joshua Wood,Male,4,A
S0108,Jacqueline Clark,Male,2,B
S0109,Timothy Marsh,Female,2,C
S0110,Michael Hicks,Female,6,A
S0111,Dana Wise,Male,1,B
S0112,Tammy Herring,Female,2,B
S0113,Steven Evans,Female,1,B
S0114,Loretta Hernandez,Male,8,C
S0115,Diana Wilson,Female,10,C
S0116,Bradley Mooney,Male,7,B
S0117,Joseph Deleon,Female,5,B
S0118,Erin Williams,Female,9,B
S0119,Chad Bailey,Female,5,C
S0120,Michael Gonzales,Female,7,A
S0121,Jennifer Anderson,Female,7,A
S0122,Theresa Reed,Male,7,A
S0123,Jennifer Martinez,Female,2,A
S0124,Elizabeth Collins,Female,8,C
S0125,Frederick Torres,Female,3,C
S0126,Natalie Estrada,Male,1,B
S0127,Timothy Byrd,Male,12,A
S0128,Lisa Powers,Male,3,C
S0129,Annette Gamble,Male,10,C
S0130,Christopher Roberts,Female,7,C
S0131,Rachel Johnson,Female,12,C
S0132,Ashley Powell,Male,6,C
S0133,Christopher Campbell,Male,2,A
S0134,Karen Hanson,Female,9,B
S0135,William Sanchez,Female,1,B
S0136,Wesley Garza,Male,3,A
S0137,Christopher Perkins,Male,5,A
S0138,Anna Palmer,Female,1,C
S0139,Christopher Taylor,Female,11,A
S0140,Hector Edwards,Female,6,A
S0141,John Dickerson,Female,5,A
S0142,Rebecca Brown,Male,1,A
S0143,Pamela Schwartz,Male,2,A
S0144,Thomas Romero,Male,1,B
S0145,James Matthews,Female,11,C
S0146,Gina Austin,Male,5,A
S0147,Justin Hess,Female,4,A
S0148,Heidi Simpson,Female,6,C
S0149,Thomas Williams,Male,2,A
S0150,Judith Spencer,Male,5,A
S0151,Mitchell Campbell,Female,12,B
S0152,Amanda Phillips,Male,11,A
S0153,Lauren Casey,Female,6,C
S0154,Tyler Vargas,Male,11,C
S0155,Pamela Miller,Male,1,A
S0156,Christopher Rodriguez,Female,8,B
S0157,Samantha Black,Female,8,B
S0158,Tanya Chase,Female,10,C
S0159,Bonnie Navarro,Male,1,A
S0160,Michael Patton,Male,8,A
S0161,George Tucker,Male,5,A
S0162,Shawn Lawson MD,Male,5,C
S0163,Dustin Butler,Female,8,A
S0164,James Bryant,Male,3,B
S0165,Patricia Gross,Female,4,C
S0166,Madison Collins,Female,10,A
S0167,Elizabeth Smith,Male,4,A
S0168,Mrs. Katrina Brown,Female,9,B
S0169,Dennis Smith,Male,10,A
S0170,Cheryl Taylor,Female,10,C
S0171,Marvin Tucker,Female,8,A
S0172,Cassandra Haney,Male,3,C
S0173,Laurie Benton,Male,4,C
S0174,Robin Bryant,Male,7,C
S0175,David Payne,Male,10,C
S0176,Steven Durham,Female,5,C
S0177,Rodney Mcconnell,Male,7,A
S0178,Rodney Cox,Female,4,A
S0179,Veronica Arroyo,Female,11,C
S0180,John Murphy,Female,6,A
S0181,John Archer,Female,5,C
S0182,Lisa King,Male,12,C
S0183,Joann Bush,Female,2,C
S0184,Carlos Gonzalez,Female,1,A
S0185,Kristopher Watkins,Male,3,A
S0186,Gabriela Peterson,Female,6,A
S0187,Maureen Williams,Female,2,A
S0188,Philip Knox,Male,10,C
S0189,Natalie Chambers,Female,5,B
S0190,Leslie Heath,Female,1,A
S0191,Ashley Rice,Female,12,B
S0192,John Kerr,Male,12,A
S0193,Thomas Mclean,Male,4,A
S0194,Sharon Hall,Female,2,A
S0195,Larry Rios,Male,5,B
S0196,Kimberly Williams,Male,12,B
S0197,Travis James,Female,3,B
S0198,John Chen,Female,8,B
S0199,Jamie Boyd,Male,10,B
S0200,Rebecca Powell,Female,10,C
S0201,Amber Williams,Female,11,B
S0202,Brian Werner,Male,10,A
S0203,Cassandra Mclaughlin,Female,7,B
S0204,Dennis Campbell,Female,7,C
S0205,Rebecca Crosby,Male,10,B
S0206,Robin Peters,Male,9,C
S0207,Jordan Wagner,Female,8,C
S0208,Todd Fields,Male,1,A
S0209,Michael Pearson,Female,9,A
S0210,Steven Vasquez,Female,6,B
S0211,Benjamin Coffey,Male,12,C
S0212,Ronald Ali,Female,9,A
S0213,Joseph Spears,Male,12,B
S0214,Christina Simpson,Female,6,B
S0215,Julie Paul,Female,4,A
S0216,Gregory Pope,Male,9,C
S0217,Kimberly Knight,Male,10,A
S0218,Ashley Hamilton DVM,Male,12,A
S0219,Brenda Richards,Male,5,A
S0220,Phillip French,Female,3,A
S0221,David Newman,Female,7,C
S0222,Daniel Eaton,Female,6,C
S0223,Melanie Dodson,Male,12,C
S0224,Randy Stanley,Female,1,C
S0225,Raymond Wallace,Male,3,C
S0226,Todd Boyle,Female,5,C
S0227,Robert Davis,Male,4,B
S0228,Christina Lopez,Male,2,C
S0229,Edward Smith,Male,7,B
S0230,Sarah Allison,Male,2,A
S0231,Daniel Davidson,Male,11,B
S0232,Danielle Moon,Female,3,B
S0233,Judith Wood,Male,3,B
S0234,Joseph Williams,Female,10,A
S0235,Jonathan Wright,Male,10,C
S0236,Deborah White,Female,3,A
S0237,Edward Henry,Male,5,A
S0238,Sarah Manning,Female,3,A
S0239,Jason Walsh,Male,6,B
S0240,Michael Moran,Female,1,C
S0241,Richard Myers,Male,1,B
S0242,Kristin Riley,Male,9,C
S0243,Alexandra Bruce,Female,6,A
S0244,John Mcdowell,Female,3,C
S0245,Stephanie Galvan,Female,9,B
S0246,Roger Duncan,Male,7,A
S0247,Karen Miller,Female,1,B
S0248,Michael Obrien,Female,6,B
S0249,Jonathan Orr,Female,8,B
S0250,Amy Riley,Female,3,B
S0251,Ashley Logan,Male,6,B
S0252,Kimberly Cortez,Female,4,C
S0253,Paula Rogers,Male,3,C
S0254,Erika Mitchell,Female,8,A
S0255,Carol Williams,Male,4,A
S0256,Christopher Hall,Male,3,B
S0257,Paul Graves,Male,1,B
S0258,Sarah Wallace,Male,6,C
S0259,Alexander Kelly,Male,10,B
S0260,Jerry Rosales,Male,11,B
S0261,John Carter,Female,7,B
S0262,William Johnson,Male,11,A
S0263,Christopher Webb,Female,12,C
S0264,Gregory Mcdonald,Male,6,B
S0265,Patricia Baker,Male,6,B
S0266,Denise Taylor,Male,11,A
S0267,Theodore Peters,Female,4,A
S0268,Hailey Martinez,Male,11,A
S0269,Erika Simpson,Male,7,C
S0270,Elizabeth Petersen,Female,7,A
S0271,Karen Smith,Female,6,C
S0272,Karen Gibbs,Female,6,B
S0273,Joshua Robinson,Male,9,A
S0274,Jacqueline Smith,Female,12,C
S0275,David Gordon,Male,2,B
S0276,Pamela Montgomery,Male,11,B
S0277,Diane Schmitt,Female,6,B
S0278,Johnny Perez,Female,8,A
S0279,Zachary Gomez,Female,8,A
S0280,Donna Gonzalez,Female,4,C
S0281,Daniel Petersen,Female,3,A
S0282,Angela Morris,Female,2,A
S0283,Carolyn Gonzalez,Male,12,C
S0284,Cynthia Ward,Male,3,C
S0285,Christopher Fleming,Female,6,C
S0286,Raymond Walls,Female,8,B
S0287,Angelica Payne,Male,4,B
S0288,Andrew Daniels,Female,2,B
S0289,Jasmine Crosby,Female,3,B
S0290,David Jackson,Female,8,C
S0291,Ebony Newton,Female,6,B
S0292,Dustin Flynn,Male,6,B
S0293,John Hardin,Male,3,A
S0294,Rebecca Gordon,Male,12,C
S0295,Kayla Elliott,Male,10,A
S0296,Katherine Williams,Male,5,A
S0297,David Reed,Female,1,C
S0298,Nathan Newton,Female,10,C
S0299,Peter Mercado,Male,11,C
S0300,Christopher Castro,Male,10,A
S0301,Ronald Banks,Male,1,A
S0302,Danielle Chandler,Female,11,A
S0303,Jocelyn Howell,Male,2,A
S0304,Veronica Miller,Male,12,A
S0305,Amanda Moore,Male,8,C
S0306,Michelle Wallace,Female,3,B
S0307,Elizabeth King,Female,12,C
S0308,Kenneth Mendoza,Female,6,B
S0309,Susan Rodriguez,Female,3,B
S0310,Michael Fuentes,Male,12,C
S0311,Emily Hendricks,Male,1,C
S0312,Elizabeth Miller,Female,3,A
S0313,Diane Lam,Male,5,B
S0314,Stacey Beck,Female,4,A
S0315,Sarah Lopez,Female,4,A
S0316,Ronald Gaines,Male,5,A
S0317,Nicholas Davidson,Male,4,A
S0318,Debra Garcia,Male,2,B
S0319,Brandi Simpson,Male,6,B
S0320,Jeffrey Ramsey,Female,4,A
S0321,Julia Wood,Male,10,C
S0322,Eric Cummings,Female,8,C
S0323,Dr. Anne Jackson,Male,2,A
S0324,Malik Williams,Male,6,A
S0325,Susan Chavez,Male,1,C
S0326,Amanda Henry,Male,11,A
S0327,Erin Scott,Male,1,B
S0328,Linda Quinn,Female,8,C
S0329,Amber Hamilton,Male,6,B
S0330,Alison Clark,Male,11,A
S0331,Alyssa King,Female,5,B
S0332,Raymond Dixon,Female,8,C
S0333,Robert Ward,Male,11,A
S0334,Norma Johnson,Female,8,C
S0335,Christopher Holmes,Female,3,B
S0336,Christine Boyle,Female,1,A
S0337,Raymond Martin,Female,7,A
S0338,Michelle Chavez,Female,8,A
S0339,Bradley Roberts,Male,6,A
S0340,Kevin Mack,Female,1,B
S0341,Dr. Johnny Perez,Male,10,C
S0342,Billy Miller,Male,5,C
S0343,Tabitha Adams,Female,11,A
S0344,Maria Rogers,Female,12,C
S0345,David Singh,Female,5,B
S0346,Mathew Sanchez,Female,9,A
S0347,Stephanie Vasquez,Female,11,B
S0348,Lisa Harris,Male,11,C
S0349,Sheryl White,Male,5,C
S0350,Melissa Smith,Male,8,C
S0351,Rachel Gaines,Female,4,C
S0352,Courtney Leon,Male,4,C
S0353,Tara Cunningham,Female,9,B
S0354,Pamela Glover,Female,2,C
S0355,Deborah Williams,Male,3,C
S0356,Shannon Barrera,Male,12,C
S0357,Tammy Potter MD,Female,6,A
S0358,Benjamin Moore,Male,9,B
S0359,Brittany Coleman,Male,7,C
S0360,Clifford Bray,Male,3,A
S0361,Justin James,Female,1,B
S0362,Brian Montoya,Male,9,A
S0363,Dwayne Cole,Male,11,A
S0364,Kathy Floyd,Female,4,A
S0365,Linda Cross,Male,10,A
S0366,Willie Oliver,Female,6,C
S0367,Andrew Kelly,Male,7,C
S0368,Timothy Maynard,Female,2,B
S0369,Chad Ramirez,Female,12,C
S0370,Rachel Mcguire,Female,12,C
S0371,Jim Hanson,Male,4,A
S0372,Michael Bautista,Female,4,B
S0373,Joseph Watson,Female,11,A
S0374,Mr. Dustin Allen MD,Female,4,A
S0375,Sheri Lloyd,Female,10,C
S0376,Veronica Williams,Male,5,B
S0377,Tracy Hoffman,Female,6,B
S0378,Susan Nicholson,Male,1,B
S0379,Mark Thomas,Female,10,A
S0380,Margaret Peters,Female,1,B
S0381,Patrick Carter,Female,8,B
S0382,Chad Mcpherson,Male,1,C
S0383,Karen Reed,Male,9,A
S0384,Haley Hamilton,Male,1,A
S0385,Michael Joseph,Female,7,A
S0386,Nathaniel Kelley,Female,12,A
S0387,Randy Johnson,Male,9,C
S0388,Anna Monroe,Female,11,B
S0389,Tommy Donaldson,Male,3,B
S0390,Rhonda Smith,Female,1,B
S0391,Matthew Adams,Female,10,C
S0392,Alicia Kane,Female,5,A
S0393,Laura Simpson,Female,1,A
S0394,Danielle Alexander,Female,4,B
S0395,Edward Benson,Male,8,C
S0396,Randy Young,Female,12,B
S0397,Jeanne Mooney,Female,9,A
S0398,Heather Torres,Male,1,B
S0399,Jessica Gonzalez,Male,9,B
S0400,Emily Santos MD,Female,12,A
S0401,Amy Johnson,Female,2,A
S0402,Jonathan Shaffer,Female,7,A
S0403,David Eaton,Male,5,A
S0404,Cody Fitzgerald,Female,12,A
S0405,Christina Ramirez,Female,11,B
S0406,Thomas Mcclain,Male,2,B
S0407,Benjamin Johnson,Male,5,A
S0408,David Dennis,Female,8,B
S0409,Tristan Coffey,Male,7,B
S0410,Eric Johnson,Female,7,B
S0411,Michelle Evans,Male,8,C
S0412,Stephen Lawson,Male,1,B
S0413,Michael David,Male,9,A
S0414,Stephanie Rodriguez,Female,10,A
S0415,Jason Parker,Male,9,A
S0416,Robert Kennedy,Male,5,C
S0417,Chad Collier,Male,2,C
S0418,Erica Dillon,Male,6,A
S0419,Holly Ross,Male,9,C
S0420,Katelyn Dominguez,Male,8,A
S0421,Nicholas Robinson,Male,9,A
S0422,Christopher Estrada,Female,8,C
S0423,Rachel Blackwell,Male,10,C
S0424,Wendy Baxter,Male,10,B
S0425,Casey Hudson,Male,7,B
S0426,Sandra Cisneros,Female,8,A
S0427,Alyssa Morris,Female,6,B
S0428,David Taylor,Female,12,C
S0429,Patricia Ray,Female,6,C
S0430,Kathryn Brown,Female,8,B
S0431,Jessica Burns,Male,12,A
S0432,Michael Mayo,Male,8,A
S0433,Nicholas Smith,Male,3,A
S0434,Victoria Elliott,Female,1,A
S0435,Lisa Evans,Female,5,C
S0436,Sarah Yates,Female,9,C
S0437,Taylor Brown,Male,10,C
S0438,Robert Webster,Male,9,B
S0439,Valerie Stanton,Male,2,A
S0440,Tammy Brown,Male,8,B
S0441,Breanna Maldonado,Male,8,A
S0442,Bridget Vazquez,Female,10,C
S0443,Kathy Love,Male,1,C
S0444,Joel Williams,Male,2,B
S0445,Keith Berry,Female,3,C
S0446,Mary Dean,Female,10,A
S0447,John Alvarez,Male,11,B
S0448,Daniel Porter,Female,1,A
S0449,James Coleman,Female,11,B
S0450,Sara Mcneil,Female,10,A
S0451,Gary Perry,Male,4,A
S0452,Mary Owens,Female,5,A
S0453,Javier Reid,Female,6,B
S0454,Kathryn Hall,Female,3,B
S0455,Rhonda Lee,Male,3,B
S0456,Heather Kelley,Female,5,C
S0457,Joann Casey,Female,9,C
S0458,Stephanie Tyler,Male,5,B
S0459,William Williams,Female,4,B
S0460,Jason Taylor,Male,4,C
S0461,Amanda Thompson,Male,9,B
S0462,Michael Keller,Male,8,A
S0463,Ryan Davis,Female,4,B
S0464,Lisa Mcgee,Male,9,B
S0465,Amy Cisneros,Female,9,C
S0466,Bailey Pratt,Male,2,C
S0467,William Gilbert,Female,11,A
S0468,Taylor Patrick,Male,5,B
S0469,James Humphrey,Female,4,A
S0470,Mario Castillo,Male,2,C
S0471,Brian Singleton,Male,7,B
S0472,Mrs. Brittney Williams,Female,9,A
S0473,Gregory Floyd,Male,1,C
S0474,David Garcia,Female,2,B
S0475,Steven Huynh,Female,8,B
S0476,Anthony Floyd,Male,3,B
S0477,Brett Richmond,Male,6,C
S0478,Rachel Coleman,Female,10,A
S0479,Craig Kidd,Male,11,C
S0480,Donna Sims,Female,10,C
S0481,Lance Watts,Female,11,C
S0482,Mathew Jenkins,Male,2,A
S0483,Kevin Turner,Female,5,C
S0484,Hannah Thomas,Female,9,C
S0485,Karen Castro,Male,9,C
S0486,Ann Dawson,Male,12,B
S0487,Ashley Brown,Male,6,B
S0488,Heather Miller,Male,11,C
S0489,David Parker,Male,12,A
S0490,Brian Johnson,Male,8,A
S0491,Tina Johnson,Male,9,A
S0492,Jerry Fox,Female,2,C
S0493,Casey Carter,Male,3,A
S0494,Barbara Harding,Male,1,A
S0495,Patrick Bray,Male,9,C
S0496,Tracy Hall,Female,6,B
S0497,Zachary Elliott,Female,7,A
S0498,David Collins,Female,12,A
S0499,Nicole Blackwell,Female,1,B
S0500,Sandra Taylor,Female,11,A
S0501,Gloria Osborne,Male,1,C
S0502,Vincent Huynh,Female,1,C
S0503,Cheryl Gonzalez,Female,3,C
S0504,Shawn Smith,Male,6,C
S0505,Robert Lowe,Male,1,A
S0506,Chad Cochran,Male,4,B
S0507,Margaret Baldwin,Female,9,C
S0508,Sally Jones,Male,7,A
S0509,Rita Graham,Male,4,B
S0510,Mrs. Katelyn Hill,Female,3,B
S0511,Jason Lee,Female,3,B
S0512,Tammy Ramos,Male,3,B
S0513,Mr. Ryan Lewis,Male,6,A
S0514,Katie Jackson,Female,1,A
S0515,Christina Jones,Female,3,B
S0516,Jennifer Wright,Male,4,A
S0517,Kathleen Shannon,Male,5,A
S0518,Christopher Colon,Male,8,A
S0519,Denise English,Male,5,C
S0520,Renee Ashley,Female,2,B
S0521,Justin Lamb,Male,9,C
S0522,Christina Hayes,Female,11,B
S0523,Matthew Doyle,Female,2,C
S0524,Regina Wagner,Male,9,C
S0525,Jaime White,Male,10,C
S0526,David Young,Male,9,B
S0527,Michelle Adams,Male,4,C
S0528,David Maldonado,Male,3,C
S0529,Christina Charles,Male,10,B
S0530,Jessica Cuevas,Male,5,B
S0531,Aaron Roberts,Male,9,C
S0532,Stacey Porter,Female,4,A
S0533,Danielle Lee,Male,6,A
S0534,Andrew Farmer,Female,1,C
S0535,William Powell,Male,9,C
S0536,Dawn Murray,Female,6,B
S0537,Cynthia Montoya,Male,8,C
S0538,Kimberly Holt,Male,12,C
S0539,Jimmy Hawkins,Female,1,C
S0540,Christopher Peterson,Female,9,B
S0541,Steve Garcia,Female,2,A
S0542,Michelle Henry,Female,10,A
S0543,Wanda Jones,Male,3,B
S0544,Samuel Craig,Male,12,A
S0545,Amy Lloyd,Male,3,C
S0546,Jessica Grant,Male,2,A
S0547,Emily Hensley,Male,2,B
S0548,Melissa Moore,Male,10,B
S0549,Blake Boone,Female,9,B
S0550,Bianca Ingram,Female,5,C
S0551,Thomas Nash,Female,7,B
S0552,Karen Rogers,Female,7,B
S0553,David Torres,Female,5,C
S0554,April Dunn,Male,11,C
S0555,Paula Palmer,Female,12,B
S0556,Kevin Brennan,Male,8,A
S0557,Ronald Mendez,Male,9,A
S0558,Paul Baker,Female,11,C
S0559,Leslie Kramer,Male,11,A
S0560,Gregory Hall,Female,2,B
S0561,Benjamin Lopez,Female,6,B
S0562,Brian Mckinney,Male,12,A
S0563,Nicholas Lozano,Male,1,A
S0564,Kyle Hernandez,Male,6,B
S0565,Amber Davidson,Female,1,B
S0566,Tanya Thomas,Female,6,B
S0567,Jaclyn Thompson,Female,10,B
S0568,David Carter,Male,6,B
S0569,Raymond Jones,Male,4,B
S0570,Autumn Cervantes,Female,12,C
S0571,Catherine Baker,Male,4,C
S0572,Joseph Anderson,Male,9,B
S0573,Misty Dorsey,Female,2,A
S0574,Angel Jordan,Female,9,B
S0575,Kelly Le,Male,2,C
S0576,Tammie Sanders,Male,4,B
S0577,Margaret Simpson,Female,2,C
S0578,Christopher Ball,Female,3,C
S0579,Michelle Howard,Male,5,B
S0580,Kristina Logan,Male,5,C
S0581,Jennifer Moore,Male,8,A
S0582,Felicia Kane,Female,9,B
S0583,Cindy Maxwell,Male,3,C
S0584,Thomas Brooks,Female,11,B
S0585,Erica Mclaughlin,Female,10,C
S0586,Brittany Jimenez,Male,3,A
S0587,Jeffrey Jenkins,Male,3,C
S0588,Aaron Lopez,Female,10,C
S0589,Colleen May,Female,2,C
S0590,Zachary Martinez,Male,7,C
S0591,Christopher Vincent,Female,8,A
S0592,Hannah Watson,Male,8,A
S0593,Ruth Davis,Male,3,A
S0594,Travis Warner,Male,5,C
S0595,Scott Bryant,Male,4,A
S0596,Spencer Myers,Male,5,B
S0597,Trevor Lopez,Male,6,C
S0598,Yolanda Huynh,Male,9,B
S0599,Colin Knox,Female,3,C
S0600,Jeffery Hill,Female,12,B
S0601,Michelle Tucker,Female,3,C
S0602,Erica Phillips,Male,1,C
S0603,Shane Washington,Male,11,C
S0604,Corey Price,Female,12,A
S0605,Victoria Burnett,Male,9,B
S0606,Ronald Gates,Male,4,A
S0607,Danielle Thompson,Female,1,A
S0608,Ruth Bowman,Male,6,A
S0609,Brian Jones MD,Female,2,A
S0610,Steven Sheppard,Female,7,C
S0611,Jerry Bennett,Female,6,A
S0612,Kayla Cuevas,Female,2,B
S0613,Marcus Lucero,Male,5,A
S0614,Brian Johnson,Female,7,C
S0615,Stephanie Hall,Female,9,A
S0616,Brandon Chandler,Male,10,A
S0617,Traci Shah,Female,3,B
S0618,Bridget Gordon,Male,4,A
S0619,Sarah Boyer,Male,12,A
S0620,Morgan Grant,Female,2,A
S0621,Benjamin Carter,Female,10,A
S0622,Michael Hernandez,Male,7,B
S0623,Sarah Miller,Male,10,C
S0624,Kaitlyn Valdez,Female,4,A
S0625,Amy Graham,Male,9,C
S0626,Kristin Robinson,Male,6,B
S0627,Kenneth Meyer,Female,8,A
S0628,Sandra Simpson,Female,7,C
S0629,Jordan Davis,Female,8,B
S0630,Shawn Adams,Female,8,B
S0631,Dillon Hudson,Female,2,B
S0632,Holly Little,Male,12,A
S0633,Elizabeth Rios,Female,7,A
S0634,Carla Carey,Female,5,A
S0635,Gregory Rodriguez,Male,11,A
S0636,Alicia Wilson,Female,4,A
S0637,Charles Webb,Male,5,B
S0638,Kyle Stephens,Female,6,C
S0639,Karen Ellis,Male,1,C
S0640,Kristen Hill,Male,11,A
S0641,Michael Buckley,Male,8,C
S0642,Kimberly Calhoun,Female,3,B
S0643,Juan Lopez,Female,3,A
S0644,Todd Walker,Female,8,A
S0645,Mark Marquez,Male,7,B
S0646,Vickie Lewis,Male,10,C
S0647,Todd Allen,Female,1,B
S0648,Aaron Barnes,Female,6,C
S0649,Dr. Terri Yates,Female,1,B
S0650,Austin Washington,Female,10,A
S0651,Nichole Martin,Male,3,A
S0652,Kevin Johnson,Male,9,C
S0653,Erika Morris,Male,8,C
S0654,Angela Johnston,Female,3,C
S0655,Jason Smith,Male,6,A
S0656,Randall Ellison,Male,10,A
S0657,Kevin Mendoza,Female,2,C
S0658,Alexander Allen,Male,11,B
S0659,Jennifer Wilson,Male,6,A
S0660,Brandon Carpenter,Male,1,C
S0661,Mr. James Wiggins,Female,8,A
S0662,Nicole Smith,Female,4,B
S0663,Nancy Evans,Male,8,A
S0664,Robert Allen,Male,11,C
S0665,Jeffrey Sanders,Female,10,B
S0666,Dylan Williams,Female,4,C
S0667,Tiffany Mejia,Male,7,B
S0668,Tina Lopez,Male,11,C
S0669,Ashley Brown,Male,11,A
S0670,Edward West,Male,10,A
S0671,Christine Richard,Female,11,A
S0672,Jason Davis,Male,7,B
S0673,Colleen Chambers,Female,8,C
S0674,Dave Dorsey,Female,1,A
S0675,Jonathan Williams,Male,6,A
S0676,Charles Espinoza,Female,8,C
S0677,Warren Allen,Male,7,C
S0678,Christopher Wilson,Male,2,A
S0679,Alexandra Hall,Female,1,B
S0680,Sharon Robinson,Male,6,C
S0681,Heidi Waters,Female,11,B
S0682,James Strong,Female,5,B
S0683,Linda Johnston,Male,10,A
S0684,Timothy Morrow,Male,7,B
S0685,Cody Simon,Female,2,C
S0686,Donna Harris,Female,9,A
S0687,Olivia White,Male,11,B
S0688,Richard Hernandez,Male,7,C
S0689,Samantha Reeves,Female,9,C
S0690,Alejandro Archer,Female,1,A
S0691,Jessica Baker MD,Female,9,A
S0692,Rachel Burns,Male,12,B
S0693,Madison Lucas,Female,1,A
S0694,Catherine Church,Male,4,C
S0695,Michael Mosley,Female,8,C
S0696,Melissa Cantrell,Female,3,C
S0697,Kelly Christensen,Female,7,A
S0698,Erica Brooks,Male,5,C
S0699,Debbie Smith,Female,8,C
S0700,Matthew Bauer,Female,2,A
S0701,Robert Stark,Male,4,C
S0702,David Davis,Female,9,A
S0703,Rachel Marks,Male,1,A
S0704,Darrell Thompson,Male,9,A
S0705,Paul Roach DDS,Female,10,B
S0706,Kim Garcia,Male,9,B
S0707,John Hunt,Male,4,C
S0708,Michael Ward,Male,2,C
S0709,Elizabeth Crawford,Female,1,A
S0710,Alexis Brewer,Female,1,A
S0711,Shawn Wade,Male,10,A
S0712,Johnny Gilmore,Male,7,C
S0713,Nancy Williams,Female,4,A
S0714,Jordan Price,Male,4,C
S0715,Samantha Jenkins,Female,7,C
S0716,Joe Moore,Female,1,B
S0717,Carolyn Cummings,Male,7,B
S0718,Elizabeth Watson,Female,5,C
S0719,Katie Johnson,Male,10,A
